id,name
1,토끼굴에 불 지르기
2,부패한 사체를 조사
4,록의 집 짓기
6,포격 장치 작동
7,유골 확인
8,도망자의 흔적 뒤지기
9,요새 속 뼈 무더기 살피기
10,정신지배의 보주 조사
11,그림 속에 검사 가두기
12,감옥 문 열기
14,하피의 알 깨기
16,등대 불 밝히기
18,분출공
19,상태 확인
20,시체 살펴보기
21,그림 속에 검사 가두기
22,고고학회 지하실 문 열기
23,파괴신상 하단 조사
24,우르나와 함께 창고 밖으로 탈출
25,살리움 원혼 포로 구출
26,일리온 원혼 포로 구출
27,솟아오르는 온천수
28,거인에 말 걸기
29,문에 쪽지 끼워넣기
30,화염초 심기
31,논의 흙더미 고르기
32,사라세니아 씨앗 태우기
34,물받이 그물망에 불지르기
35,애니가 갇힌 철창
36,바람에 날아간 바람자취 부족 깃발
37,깃대에 바람자취 부족 깃발 걸기
38,매 둥지에 새끼 매 놓아주기
39,부품 조립하기
40,우리날개1435호 작동
42,기계혼 삽입 기구 작동
43,거미줄 불태우기
44,바람돌 조사하기
45,가몽의 옷장
46,마음의 고향
47,천막 걷기
48,@DOODAD_NAME(1342)에 똥 놓기
49,@DOODAD_NAME(1410)에 똥 놓기
50,모래를흩날리는바람에게묻노니
51,낮잠자는 게으름뱅이 페레
52,매의 꽃 되살리기
53,가리워진 막사 문 열기
58,모닥불 피우기
59,기계혼 삽입 기구 작동
60,감옥
61,@DOODAD_NAME(1531)에  @ITEM_NAME(14156) 게시
62,감금용 철창 열기
63,기계혼 주입 장치 작동
64,페르난도
65,테르베르의 사다리
66,불과 흙의 속삭임
67,이시스의 집짓기
68,기계혼 삽입 기구 작동시키기
69,바람의 선물
70,죽은 눈사자 먹기
71,눈사자 우리 열기
72,기억의 터 중앙 다리 밑 핏자국 조사하기
73,로이드의 폭약 설치하기
74,굳게 닫힌 성채의 철문 열기
75,길을 막고 있는 거미줄 불태우기
76,무너진 돌 치우기
77,제단 위에 거인의 핵 올려놓기
78,낡은 문 겨우 열기
79,집 짓기
80,주술사의 솥에서 뼈 건져내기
82,티아라 바치기
83,핏자국의 주인 조사
84,아키움 반응로 1호기 작동정지
85,아키움 반응로 2호기 작동정지
86,아키움 반응로 3호기 작동정지
87,아키움 반응로 4호기 작동정지
89,후엔샤 집에 보관 중인 술독 뒤지기
90,횃불 속에 뼈 던져넣기
92,니오친의 솥에 백 년 뿌리 넣기
93,물 댄 논에 들어가기
94,불꼴서슬 부족의 요리 먹기
99,해적의 배 쏘기
103,술통 깨뜨리기
104,술 취한 농사꾼 니오친의 밭 살펴보기
105,쌀자루 들기
106,녹슨 기계들 처치
107,십 년 뿌리 달인 물 뿌리기
109,미르히의 집짓기
111,롬멜의 집안에 침대를 배치합니다.
112,하얀 날개 은신처 입구 찾기
113,하얀 날개 아스트라 회복시키기
114,순록 유인
115,모닥불 옆까지 순록을 유인합니다.
117,알로이지아 근처
120,신기한 빛을 내는 운석에서 파편을 수집합니다.
123,@ITEM_NAME(13975) 깨기
124,화강암 채석장 입구 찾기
127,너른 소매 마을 입구에 도착
130,@DOODAD_NAME(1453) 깨기
133,샤오의 비파 연주
134,고급 독주 뿌리기
137,사자의 그것 모으기
138,사자의 그것을 @NPC_NAME(4828)에게 던지기
139,하리하란 벌목꾼을 숲의 수호자 우두머리 칼스트롬에게 호송
140,클리페 찾기
141,클리페 호위
142,@ITEM_NAME(13977) 심기
143,건설 중인 집에 망치질
144,아스트라의 단검 1개 수집
145,철 광맥 깨뜨리기
147,케빈을 호위해서 아놀드에게  데려가기
148,하피 깃털 모으기
149,@ITEM_NAME(15889)를 먹지 않고 배달하기
150,아키움 광석을 이용해서 반지틀 제작
151,강탈당한 연구 장비 되찾기
153,오크 족장 로텐시안을 물리치고 그의 칼을 손에 넣습니다.
154,뿌리가 박힌 땅 살펴보기
155,백년 뿌리 찾기
158,가장 큰 하피 깃털 잃어버리지 않기
159,굽은 등 상단의 장물 발견하기
160,정체를 알 수 없는 여성의 시신 수습
161,연구 장비 배달
162,바이암 처치
163,워본의 옷 찾기
164,현혹의 비파 파괴
166,포격 자국 조사
170,아이에르 제단에 기도하기
171,근로자 명단을 얻습니다.
172,진혼제를 위한 불 피우기
173,선율의 나무 찾기
175,마리아의 흔적 찾기
176,마리아의 목걸이 건네주기
179,@ITEM_NAME(15856) 획득
180,혼병에 혼 담기
181,혼이 든 병 깨뜨리기
183,수상한 자의 흔적
185,@NPC_NAME(9384) 퇴치
186,시아즈의 옆에서 반주하기
188,루푸스의 아내 넋 위로하기
189,빈 마유통 가득 채우기
192,몽둥이로 야영지 말 놀래키기
193,@AREA_SPHERE(984) 도착
194,훔친 물건더미에서 연회물품 찾기
195,술취한 논의 회색 해골 처치
196,피 묻은 손 암살자 처치
197,들소에게 고삐 물리기
198,부드러운 사자 갈기 모으기
199,@DOODAD_NAME(3903) 개방하기
200,@DOODAD_NAME(3634)에 불 지르기
201,두 번의 망치질로 부서진 집 수리
202,거인의 나무 방화
204,오래된 유골 안치하기
206,믿음의 등 켜기
211,용의 틈 관측기 동작 후 기록지 회수
212,@DOODAD_NAME(3779) 개방하기
213,@DOODAD_NAME(3780) 개방하기
214,@ITEM_NAME(19781) 수집
215,@ITEM_NAME(19711) 수집
216,@DOODAD_NAME(1575)을 찾아 봉인 해제하기
217,사라진 워본이 향했던 용의 틈 어귀에 도착하기
218,버려진 기계 장치에 남은 마지막 목소리 듣기
219,도망친 병사 설득하기
220,도망친 병사 설득하기
221,케르트너의 흔적 찾기
222,매끈한 돌 주워오기
223,명복을 빌며 돌무덤에 매끈한 돌 내려놓기
224,@NPC_NAME(9377) 포획
225,@DOODAD_NAME(3922)에 폭탄 사용하기
227,@NPC_NAME(4843)에게 강화된 안정기 달아주기
230,돌무덤 쌓아주기
231,배신자 처치
232,수레 작동 장치 사용하기
233,농노 테세나 쫓아가기
234,가우트루의 나팔 불기
235,가우타마 따라가기
236,중앙 탑 내부와 외부의 피 묻은 손 소탕하기
237,악마 봉인 석상에 봉인의 창 꽂기
240,술통 깨뜨리기
241,후엔샤 집에 보관 중인 술독 뒤지기
243,물 댄 논에 벼 심기
245,집채 속에서 상자 발견하기
246,@ITEM_NAME(16035) 수집
247,달 그림자 마을에 도착
248,@DOODAD_NAME(4280) 수리하기
249,마르센 수색
250,@ITEM_NAME(16040) 채집
251,술취한 논의 골칫거리들 처치
252,일곱 다리 마을 사람들 처치
253,자운의 목장 골칫거리들 처치
254,재회의 사당에 드리운 그림자 세력 제거
256,프리센 수색
257,수중동굴 수색
258,헬마이어의 시신 확인
260,추억이 깃든 곰인형 수집
261,징병소로 가는 날틀 반납
262,차가운 심장을 검은 날개로 교환하기
263,고블린 부락을 벗어나야 합니다.
264,@ITEM_NAME(19688) 채집하기
265,하리하란 벌목꾼 퇴치
266,하루 뿌리 던지기
267,기생버섯 제거
268,땅의 기운 수집
269,신성한 숲의 알바트로스를 찾아라
270,상처난 백합 심기
271,그라베센의 등불에 불 붙이기
272,고대인의 유물 발굴
273,침묵의 호수 봉인석 확인
274,커다란 덫 설치
275,기억저편의 숲에 거인의 나무 묘목 심기
276,불곰을 길들인 후 봉인
277,토미를 찾아라
278,머리 위에 물음표를 띄운 못생기고 바보같은 NPC와 대화하기
279,벌목지에 버려진 통나무 수집
280,묘목 심기
281,강물 속에 통나무 던지기
282,황금 물총고기 포획
283,숲의 중심에 정화의 나무 묘목 심기
284,카론의 추억이 깃든 악보에 담긴 노래 연주
285,카론의 유리병에 반딧불이 모으기
286,카론의 유리병 열기
287,유리아 퇴치
288,유령 베나자르와 로즈메린의 결혼식 증인 되어주기
290,로토스의 눈동자에 담긴 힘 시험
291,재바워키 포획
292,거미줄 고치 수색
293,"@ITEM_NAME(15773), @ITEM_NAME(15774), @ITEM_NAME(15775), @ITEM_NAME(15776)|1을;를; 수집해서 @ITEM_NAME(15777) 제조"
294,예쁘게 생긴 약초 섭취
295,독초처럼 생긴 약초 섭취
296,고약한 냄새를 풍기는 약초 섭취
297,호박석 파괴
298,사냥꾼 퇴치
299,목욕하다 소환 당한 엘프 처치
300,고르곤 퇴치
301,사랑의 화원에 추모의 꽃 심기
302,숲의 정기 수집
305,간단한 요리재료 구하기
311,호랑이의 기름진 뱃살 수집
312,알카란의 파편을 모아서 알카란의 인장을 만들어야 합니다.
313,저주에 걸린 탐험가에게 알카란의 인장 사용
315,씨앗 광산의 가장 깊은 안쪽까지 들어갑니다.
316,사금 채취 시설 수리
317,사금채취 일꾼을 위한 응원가 연주
318,베커의 시체를 조사합니다.
320,베커의 시체를 조사합니다.
321,수상한 괴한 처치
322,순록 시체 묻어주기
323,숨겨진 왕실의 보물 찾기
325,빛나는 물체를 조사하여 아스트라의 유물을 모읍니다.
326,자석제어기를 이용해서 고장난 쇠 골렘을 저지합니다.
327,@NPC_NAME(5253) 찾기
328,@NPC_NAME(5252) 찾기
329,@NPC_NAME(5251) 찾기
330,암석 더미에서 별똥별 암석을 채취합니다.
331,전투에서 쓰러진 아스트라의 시체를 조사합니다.
332,냄새나는 꽃 꺾기
333,현인의 석상 위에 설치된 시한폭탄을 제거합니다.
334,할 하파로 가는 입구 찾기
335,다리가 폭파되기 전에 폭탄을 찾아서 빨리 제거해야 합니다.
338,쫄깃쫄깃한 사슴 뒷다리 구하기
339,나무정령 처치하기
340,시들어버린 라벤더 어루만지기
341,은으로 된 아스트라의 부품을 나룻배에 부착합니다.
342,새 둥지에서 새알 꺼내기
343,움직이지 않는 기계 놓기
344,기계공 루하론에게 돌아가기
346,우물에서 물 긷기
347,난폭한 야생마에게 부드러운 당근 먹이기
348,올리베이의 마구간으로 이동
349,여행자의 낡은 가마솥 구입
350,여행자의 조잡한 공구상자 구입
351,여행자의 낡은 가마솥 설치
352,간단한 요리 만들기
353,방금 요리한 음식 먹기
354,장작 모으기
355,여행자의 조잡한 공구상자 설치하기
356,모험가의 쓸만한 가마솥 제작하기
357,더 맛있는 음식 요리하기
358,통나무 모으기
359,다용도 목재 만들기
360,모험가의 쓸모있는 공구상자로 개조하기
361,덤불에서 거미줄 수집하기
362,다용도 옷감 만들기
363,여행자의 낡은 천막 만들기
364,어린이 나라야나 찾기
365,어린이 나라야나 찾기
366,어린이 나라야나 찾기
367,푸른 전나무회에게 사슴 데려가기
368,숲 입구가 보이는 곳까지 야타 데려가기
369,하르파의 마차에서 망토 꺼내기
370,에이미의 닭 포획
371,스레얀에게 길들인 야타 데려가기
372,사라세니아 무리 처치
375,할 하파로 가는 입구 찾기
376,안식화의 꽃잎 따기
379,움직이지 않는 기계 놓기
381,타오르는 심장으로 @NPC_GROUP_NAME(54) 달래기
382,용기의 나무 만지기
